(182)(5)Kadu,,,,(29)(3)Gatari,
(182)(6)Bawane,,,,(29)(4)Hande,
(182)(7)Adhprabhu,,,,(29)(5)Telvar,
(182)(8)Adhsheti,,,,(29)(6)Hatkar,
(182)(9)Jire,,,,(29)(7)Haatkar,
(182)Bagwan(Muslim Religious),,,,(29)(8)Sagar,
(182)Bharat Bagwan,,,,(29)(8)Segar,
(182)Chaukalashi,,,,(29)(8)Shegar,
(182)Gase Vanmali,,,,(29)(9)Khutekar,
(182)Ghodekhau,,,,(29)Dhangar,
(182)Kosare,,,,(3)(A)Balasantoshi,
(182)Mali,,,,(3)(A)Bhamti,
(182)Maral,,,,(3)(B)Girni Waddar,
(182)Marar,,,,(3)(B)Kinggriwale,
(182)Pachkalasi,,,,(3)(C)Kamati,
(182)Pathare Kshatriya,,,,(3)(C)Nath Bava,
(182)Pathare-Kshatriya-Pachkalshi,,,,(3)(D)Garpagari,
(182)Raain(Baagvan),,,,(3)(D)Nath Jogi,
(182)S.K.P.,,,,(3)(D)Pathrut,
(182)Sastikar,,,,(3)(E)Nath Panthi Davari Gosavi,
(182)Savatamali,,,,(3)(E)Takari (Including Muslims Religious),
(182)Somvanshiya-Pathare Kshatriya,,,,(3)(F)Jogi,
(182)Sutar,,,,(3)(F)Nath,
(182)Vadwal,,,,(3)(F)Nathpanthi,
(183)Lonari,,,,(3)(F)Uchale,
(185)Talwar-Kanade,,,,(3)(G)Davari,
(185)Talwar-Kanadi,,,,(3)(G)Ghantichor,
(186)Raghavi (In Vidarbha Districts),,,,(3)Bhamta,
(187)Bawarchi,,,,(3)Bharadi,
(187)Bhandari,,,,(30)(1)Vanjar,
(187)Bhatiyara (Muslim Religious),,,,(30)(2)Vanjara,
(188)Ganali,,,,(30)Vanjari,
(188)Gandali,,,,(31)Kadak Laxmiwale,
(189)Bhoir,,,,(31)Maragammawale,
(189)Bhoyar,,,,(31)Mari Aaiwale,
(189)Bhoyir,,,,(32)Gahara,
(189)Pawar,,,,(32)Gihara,
(189)Powar,,,,(33)Gosai,
(19)Chamtha,,,,(33)Gusai,
(190)Boraal,,,,(34)Garudi,
(190)Borad,,,,(34)Jadugar,
(190)Boral(Excluding Ladwani),,,,(34)Muslim Madari,
(190)Borul,,,,(34)Sapwale,
(190)Dhakad,,,,(35)Indian Irani,
(190)Kanthahar Wani,,,,(36)Gavalan,
(190)Kathar,,,,(36)Gavali,
(190)Kathar Wani,,,,(36)Gavali Gopal,
